,join_fid,awning,cross_stre,on_street,lat,lon,type,name,address,HOODS_,HOODS_ID,S_HOOD,L_HOOD,L_HOODID
349656,1822,NO,Troll Ave N,N 35th St,47.6502100382,-122.347327395,Bus Stop,,,35.0,137.0,Fremont,NO BROADER TERM,6.0
349657,2210,NO,N 38th St,Aurora Ramp,47.6526117623,-122.346722869,Bus Stop,,,35.0,137.0,Fremont,NO BROADER TERM,6.0
349658,2226,NO,N 38th St,Aurora Ramp,47.6520717884,-122.347959811,Bus Stop,,,35.0,137.0,Fremont,NO BROADER TERM,6.0
349659,2545,NO,Whitman Ave N,Bridge Way N,47.652372865,-122.346319807,Bus Stop,,,35.0,137.0,Fremont,NO BROADER TERM,6.0
349660,3472,,,,47.650068,-122.3484,Libraries,Fremont,731 N 35TH ST,35.0,137.0,Fremont,NO BROADER TERM,6.0
349844,2062,YES,N 34th St,Fremont Ave N,47.6496699522,-122.349850045,Bus Stop,,,35.0,137.0,Fremont,NO BROADER TERM,6.0
350227,1421,NO,Crockett St,Dexter Ave N,47.6373598369,-122.343302772,Bus Stop,,,49.0,202.0,Westlake,CASCADE,12.0
350228,2071,NO,Crockett St,Dexter Ave N,47.638094308,-122.343509075,Bus Stop,,,45.0,145.0,East Queen Anne,QUEEN ANNE,10.0
357483,1379,NO,4th Ave N,Dexter Ave N,47.6454563713,-122.349020515,Bus Stop,,,45.0,145.0,East Queen Anne,QUEEN ANNE,10.0
357484,1438,NO,4th Ave N,Dexter Ave N,47.6454058979,-122.349224246,Bus Stop,,,45.0,145.0,East Queen Anne,QUEEN ANNE,10.0
357485,1798,NO,Westlake Aly N,Westlake Ave N,47.6455602884,-122.348418684,Bus Stop,,,45.0,145.0,East Queen Anne,QUEEN ANNE,10.0
357486,1842,NO,Dexter Ave N,Westlake Ave N,47.6458059248,-122.349298466,Bus Stop,,,45.0,145.0,East Queen Anne,QUEEN ANNE,10.0
357524,2626,NO,6th Ave W,W McGraw St,47.6395217728,-122.365300298,Bus Stop,,,46.0,148.0,West Queen Anne,QUEEN ANNE,10.0
357705,1380,NO,4th Ave N,Dexter Ave N,47.6438957362,-122.345954245,Bus Stop,,,45.0,145.0,East Queen Anne,QUEEN ANNE,10.0
357706,1437,NO,Wheeler St,Dexter Ave N,47.6435147858,-122.345848928,Bus Stop,,,45.0,145.0,East Queen Anne,QUEEN ANNE,10.0
357709,1799,NO,Westlake Ave N,Westlake Ave N,47.6441325268,-122.345007962,Bus Stop,,,45.0,145.0,East Queen Anne,QUEEN ANNE,10.0
357841,2211,NO,Halladay St,Aurora Ave N,47.6419700686,-122.346651496,Bus Stop,,,45.0,145.0,East Queen Anne,QUEEN ANNE,10.0
